"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 19:45:00",144,0.5074539,40.54718,0.05,169.2,0.05,0
"2022-01-25 19:46:00",145,0.5109253,40.43913,0.36,295.7,0.36,-0.1
"2022-01-25 19:47:00",146,0.4647064,40.47398,0.28,79.7,0.28,0.5
"2022-01-25 19:48:00",147,0.4480591,40.59926,0.4,192.5,0.4,0.1
"2022-01-25 19:49:00",148,0.4437256,40.55566,0.42,184.7,0.42,0.2
"2022-01-25 19:50:00",149,0.4403534,40.61151,0.43,285.1,0.43,0.3
"2022-01-25 19:51:00",150,0.4200439,40.60656,0.24,43.5,0.24,0.2
"2022-01-25 19:52:00",151,0.4288788,40.61591,0.29,15.7,0.29,0.2
"2022-01-25 19:53:00",152,0.4752121,40.67027,0.44,275,0.44,0
"2022-01-25 19:54:00",153,0.4554596,40.65778,0.55,161.2,0.55,-0.1
"2022-01-25 19:55:00",154,0.394043,40.65057,0.12,342.6,0.12,0.5
"2022-01-25 19:56:00",155,0.3718872,40.66525,0.68,310.9,0.68,0.6
"2022-01-25 19:57:00",156,0.3855133,40.68376,0.47,21.1,0.47,0.4
"2022-01-25 19:58:00",157,0.379631,40.7692,0.72,337.5,0.72,0.7
"2022-01-25 19:59:00",158,0.3530579,40.71764,0.32,197,0.32,0.1
"2022-01-25 20:00:00",159,0.3552933,40.75171,0.3,266,0.3,0.3
"2022-01-25 20:01:00",160,0.3523865,40.70554,1.37,354.1,1.37,0.7
"2022-01-25 20:02:00",161,0.372345,40.70018,0.16,337,0.16,0.4
"2022-01-25 20:03:00",162,0.4203186,40.70629,0.18,212.5,0.18,0.2
"2022-01-25 20:04:00",163,0.4637909,40.73446,0.28,313.1,0.28,0
"2022-01-25 20:05:00",164,0.4423294,40.68628,0.41,260.4,0.41,0.6
"2022-01-25 20:06:00",165,0.4309692,40.72273,0.56,252.1,0.56,0.2
"2022-01-25 20:07:00",166,0.433197,40.63967,0.25,252.6,0.25,-0.1
"2022-01-25 20:08:00",167,0.4146881,40.63846,0.07,265.1,0.07,-0.1
"2022-01-25 20:09:00",168,0.4667587,40.74893,0.31,205.7,0.31,0.1
"2022-01-25 20:10:00",169,0.4389877,40.63937,0.83,290.6,0.83,-0.3
"2022-01-25 20:11:00",170,0.4459991,40.65984,0.76,206.9,0.76,0
"2022-01-25 20:12:00",171,0.3926849,40.55957,0.59,270.5,0.59,0
"2022-01-25 20:13:00",172,0.323822,40.60436,0.18,351.3,0.18,-0.4
"2022-01-25 20:14:00",173,0.3491364,40.61437,0.15,39.2,0.15,-0.5
"2022-01-25 20:15:00",174,0.2962189,40.60744,0.32,170.9,0.32,0.1
"2022-01-25 20:16:00",175,0.3189163,40.64483,0.35,26.9,0.35,-0.2
"2022-01-25 20:17:00",176,0.2892685,40.56486,0.3,63.8,0.3,-0.2
"2022-01-25 20:18:00",177,0.2372284,40.64185,0.55,132.9,0.55,-0.3
"2022-01-25 20:19:00",178,0.2529297,40.66538,0.36,346.2,0.36,-0.4
"2022-01-25 20:20:00",179,0.2610779,40.65492,0.1,240.7,0.1,-0.3
"2022-01-25 20:21:00",180,0.2042389,40.70585,0.27,308.5,0.27,-0.2
"2022-01-25 20:22:00",181,0.1426773,40.63416,0.61,229.5,0.61,-0.1
"2022-01-25 20:23:00",182,0.1553345,40.68112,0.39,252.7,0.39,-0.4
"2022-01-25 20:24:00",183,0.1664581,40.66785,0.13,240.8,0.13,-0.6
"2022-01-25 20:25:00",184,0.128418,40.6932,0.43,308,0.43,-0.4
"2022-01-25 20:26:00",185,0.1158676,40.59682,0.02,93,0.02,-0.6
